timestamp,peer_id,x,y
0.000000,P0001,629.040126,723.304699
0.000000,P0002,811.365242,555.254305
0.000000,P0003,853.956341,517.532639
0.000000,P0004,579.314568,884.680993
0.000000,P0005,59.851626,728.345252
0.000000,P0006,722.593360,590.889024
0.000000,P0007,816.754748,206.737769
0.000000,P0008,917.847044,622.829867
0.000000,P0009,383.804805,969.651857
0.000000,P0010,22.719822,438.836413
1.000000,P0001,629.997551,723.468501
1.000000,P0002,811.088855,554.977674
1.000000,P0003,854.400174,516.966593
1.000000,P0004,579.578972,884.934185
1.000000,P0005,59.644646,728.401570
1.000000,P0006,721.656729,591.144893
1.000000,P0007,817.491133,206.261767
1.000000,P0008,917.907119,622.970843
1.000000,P0009,383.340057,969.286361
1.000000,P0010,22.925254,438.867296
2.000000,P0001,630.854394,724.279833
2.000000,P0002,811.061080,554.743447
2.000000,P0003,854.627305,517.721851
2.000000,P0004,579.118255,884.677486
2.000000,P0005,59.084286,727.813059
2.000000,P0006,722.251082,590.967041
2.000000,P0007,816.542591,206.105502
2.000000,P0008,918.108190,623.041924
2.000000,P0009,383.138998,969.079564
2.000000,P0010,23.283154,438.647145
3.000000,P0001,630.497927,724.480834
3.000000,P0002,811.746125,554.260143
3.000000,P0003,854.158004,517.651137
3.000000,P0004,578.614609,884.467059
3.000000,P0005,59.636836,727.572498
3.000000,P0006,722.236746,590.546271
3.000000,P0007,816.581728,206.841679
3.000000,P0008,918.394607,622.673367
3.000000,P0009,383.485872,970.073273
3.000000,P0010,23.188824,438.725900
4.000000,P0001,630.176009,724.304263
4.000000,P0002,811.763197,554.505745
4.000000,P0003,853.981515,516.893825
4.000000,P0004,578.745950,883.980572
4.000000,P0005,59.317974,727.859359
4.000000,P0006,722.709353,590.340146
4.000000,P0007,816.787756,207.105937
4.000000,P0008,918.591175,622.450051
4.000000,P0009,383.517707,969.655263
4.000000,P0010,22.630270,437.931298
5.000000,P0001,630.105743,724.388363
5.000000,P0002,811.929475,554.259808
5.000000,P0003,853.792663,516.460931
5.000000,P0004,579.034358,883.887084
5.000000,P0005,59.064791,727.618127
5.000000,P0006,722.152400,590.091684
5.000000,P0007,816.878269,207.984478
5.000000,P0008,919.156694,622.006794
5.000000,P0009,384.359441,970.074255
5.000000,P0010,21.925938,438.221882
6.000000,P0001,629.790291,724.306960
6.000000,P0002,811.852440,554.752740
6.000000,P0003,853.233323,516.166155
6.000000,P0004,578.459142,884.586562
6.000000,P0005,58.845982,727.206486
6.000000,P0006,722.368401,589.851627
6.000000,P0007,817.311098,207.918021
6.000000,P0008,918.910068,622.063928
6.000000,P0009,384.211316,970.054822
6.000000,P0010,21.844782,438.018430
7.000000,P0001,630.084162,724.008627
7.000000,P0002,811.531611,554.446195
7.000000,P0003,853.750440,516.670024
7.000000,P0004,578.064390,885.330334
7.000000,P0005,58.153678,726.874906
7.000000,P0006,722.620094,589.610743
7.000000,P0007,816.737552,207.895397
7.000000,P0008,919.376591,622.004248
7.000000,P0009,384.477810,969.845546
7.000000,P0010,22.083508,438.261998
8.000000,P0001,630.508307,723.583121
8.000000,P0002,811.495760,554.822944
8.000000,P0003,854.107219,516.046524
8.000000,P0004,579.009819,885.458289
8.000000,P0005,58.054528,727.388363
8.000000,P0006,721.804904,589.147077
8.000000,P0007,816.652526,208.127921
8.000000,P0008,919.509211,621.659327
8.000000,P0009,384.702078,969.647841
8.000000,P0010,22.091214,438.283549
9.000000,P0001,630.767534,724.017357
9.000000,P0002,810.446220,554.760004
9.000000,P0003,855.160437,515.824279
9.000000,P0004,579.317718,885.799481
9.000000,P0005,58.240508,726.518092
9.000000,P0006,721.838189,588.721449
9.000000,P0007,816.642311,208.366366
9.000000,P0008,920.483846,621.706450
9.000000,P0009,384.247684,969.401112
9.000000,P0010,22.500887,437.696897
10.000000,P0001,629.995886,723.303521
10.000000,P0002,809.474106,555.258335
10.000000,P0003,855.138853,516.053624
10.000000,P0004,578.668742,885.382071
10.000000,P0005,58.523744,726.497659
10.000000,P0006,722.674432,587.997439
10.000000,P0007,816.763828,208.842243
10.000000,P0008,920.400789,622.464276
10.000000,P0009,384.375961,968.963721
10.000000,P0010,21.910961,437.474026
11.000000,P0001,629.905215,722.701807
11.000000,P0002,809.119602,555.366927
11.000000,P0003,855.413492,516.672857
11.000000,P0004,579.421280,885.507336
11.000000,P0005,57.536551,726.441076
11.000000,P0006,722.619942,587.823116
11.000000,P0007,816.274839,208.461580
11.000000,P0008,920.421320,621.616150
11.000000,P0009,384.611494,969.607486
11.000000,P0010,21.100790,437.935630
12.000000,P0001,630.095656,722.367696
12.000000,P0002,809.315758,555.493281
12.000000,P0003,855.950348,516.729069
12.000000,P0004,579.969254,885.653807
12.000000,P0005,57.388339,726.127571
12.000000,P0006,722.912314,587.522229
12.000000,P0007,816.272233,208.441638
12.000000,P0008,919.866278,621.100945
12.000000,P0009,383.855136,969.113527
12.000000,P0010,20.913757,438.149497
13.000000,P0001,630.362106,722.888698
13.000000,P0002,809.548194,554.983648
13.000000,P0003,855.721077,517.093162
13.000000,P0004,580.387594,885.644803
13.000000,P0005,57.556540,726.460625
13.000000,P0006,722.947737,588.629930
13.000000,P0007,815.821489,207.947706
13.000000,P0008,919.304962,620.580204
13.000000,P0009,384.495076,968.809276
13.000000,P0010,20.904199,438.666163
14.000000,P0001,630.592439,722.380133
14.000000,P0002,809.413665,554.799003
14.000000,P0003,855.834231,516.841564
14.000000,P0004,580.980098,885.088073
14.000000,P0005,57.368201,726.510901
14.000000,P0006,722.577189,588.336021
14.000000,P0007,815.721431,208.094378
14.000000,P0008,918.597554,620.429721
14.000000,P0009,384.101576,969.745696
14.000000,P0010,20.620324,439.118670
15.000000,P0001,631.385970,722.693635
15.000000,P0002,808.819955,555.441252
15.000000,P0003,855.359448,517.842299
15.000000,P0004,580.613746,884.589246
15.000000,P0005,56.989113,726.531499
15.000000,P0006,722.091106,588.231959
15.000000,P0007,816.233228,208.418779
15.000000,P0008,917.940238,620.843333
15.000000,P0009,384.801400,969.846909
15.000000,P0010,20.123884,439.066019
16.000000,P0001,631.226554,722.303889
16.000000,P0002,808.769492,555.010014
16.000000,P0003,854.970232,517.378864
16.000000,P0004,580.363063,884.279065
16.000000,P0005,56.988665,726.775514
16.000000,P0006,721.770593,588.033959
16.000000,P0007,816.117594,208.749485
16.000000,P0008,917.484337,620.080169
16.000000,P0009,384.849545,970.502708
16.000000,P0010,19.773420,439.796403
17.000000,P0001,632.137080,722.737341
17.000000,P0002,808.807185,554.432112
17.000000,P0003,855.487902,517.325974
17.000000,P0004,580.132207,884.167454
17.000000,P0005,56.749866,726.154285
17.000000,P0006,721.670437,588.509973
17.000000,P0007,816.706067,208.646968
17.000000,P0008,917.360882,620.792956
17.000000,P0009,384.353277,970.318185
17.000000,P0010,19.990858,439.407424
18.000000,P0001,631.893777,722.516318
18.000000,P0002,809.050390,554.577077
18.000000,P0003,855.423526,517.547221
18.000000,P0004,580.261333,884.694840
18.000000,P0005,56.145753,725.352057
18.000000,P0006,722.082161,588.901064
18.000000,P0007,817.464045,208.494949
18.000000,P0008,916.932852,621.168036
18.000000,P0009,384.314085,971.131065
18.000000,P0010,20.423473,439.221017
19.000000,P0001,632.331512,721.493708
19.000000,P0002,809.166102,554.318362
19.000000,P0003,855.212663,517.935185
19.000000,P0004,579.965052,884.449669
19.000000,P0005,54.905531,726.413998
19.000000,P0006,722.656349,589.089829
19.000000,P0007,817.283628,208.628070
19.000000,P0008,917.173554,621.391511
19.000000,P0009,383.751975,970.893085
19.000000,P0010,19.592385,439.357683
20.000000,P0001,631.627778,721.568463
20.000000,P0002,809.752394,555.289059
20.000000,P0003,854.559937,517.986135
20.000000,P0004,579.748040,884.857340
20.000000,P0005,54.922618,727.054490
20.000000,P0006,722.843676,588.610054
20.000000,P0007,817.501241,208.757232
20.000000,P0008,917.052386,621.635131
20.000000,P0009,383.953425,970.652665
20.000000,P0010,19.006614,439.953389
21.000000,P0001,631.043885,721.879116
21.000000,P0002,809.384936,555.418386
21.000000,P0003,854.582167,518.269344
21.000000,P0004,580.044431,883.925177
21.000000,P0005,54.026285,727.094925
21.000000,P0006,722.667833,588.995448
21.000000,P0007,816.896178,209.241596
21.000000,P0008,917.263847,621.688866
21.000000,P0009,383.952299,970.848894
21.000000,P0010,19.045697,440.070153
22.000000,P0001,631.159716,722.493384
22.000000,P0002,808.250705,555.718173
22.000000,P0003,854.885838,518.099050
22.000000,P0004,579.787737,884.778134
22.000000,P0005,53.734083,726.863596
22.000000,P0006,722.810277,588.645028
22.000000,P0007,817.102991,209.561763
22.000000,P0008,916.871720,621.449384
22.000000,P0009,383.420041,971.526972
22.000000,P0010,19.366197,439.719406
23.000000,P0001,630.739518,722.878324
23.000000,P0002,807.799309,555.721407
23.000000,P0003,855.741467,517.899193
23.000000,P0004,579.774840,884.617603
23.000000,P0005,54.528614,726.612483
23.000000,P0006,722.559706,588.037954
23.000000,P0007,817.141675,209.888086
23.000000,P0008,916.644726,620.815730
23.000000,P0009,383.211458,971.550317
23.000000,P0010,19.569414,438.802328
24.000000,P0001,630.768221,723.025973
24.000000,P0002,807.950843,556.207925
24.000000,P0003,855.981330,518.787322
24.000000,P0004,579.899341,884.488843
24.000000,P0005,55.646937,727.132752
24.000000,P0006,722.541021,588.293107
24.000000,P0007,816.985828,209.905454
24.000000,P0008,915.777268,621.068334
24.000000,P0009,383.383155,971.429500
24.000000,P0010,19.128133,438.762253
25.000000,P0001,630.769746,723.139161
25.000000,P0002,808.207229,555.443935
25.000000,P0003,855.315183,519.153871
25.000000,P0004,580.294864,883.505965
25.000000,P0005,55.358779,727.011699
25.000000,P0006,723.148279,587.330637
25.000000,P0007,816.669872,209.644322
