peer_id,initial_x,initial_y,movement_model,movement_speed
P0001,140.335743,301.182073,random_walk,2.000000
P0002,415.862706,961.933742,random_walk,2.000000
P0003,513.639058,907.465961,random_walk,2.000000
P0004,26.464163,130.875087,random_walk,2.000000
P0005,656.192441,150.615387,random_walk,2.000000
P0006,234.984179,610.044951,random_walk,2.000000
P0007,702.148665,279.211385,random_walk,2.000000
P0008,0.362642,993.017239,random_walk,2.000000
P0009,349.136120,633.903879,random_walk,2.000000
P0010,170.731904,348.400441,random_walk,2.000000
