src_peer,dst_peer,rtt_ms
P0001,P0001,0.000000
P0001,P0002,32.273114
P0001,P0003,138.903236
P0001,P0004,10.705802
P0001,P0005,23.950460
P0001,P0006,111.466642
P0001,P0007,132.384601
P0001,P0008,137.265136
P0001,P0009,122.128738
P0001,P0010,167.879984
P0002,P0001,32.273114
P0002,P0002,0.000000
P0002,P0003,51.109442
P0002,P0004,153.470547
P0002,P0005,171.737418
P0002,P0006,142.178956
P0002,P0007,182.757355
P0002,P0008,107.715012
P0002,P0009,123.871876
P0002,P0010,61.571449
P0003,P0001,138.903236
P0003,P0002,51.109442
P0003,P0003,0.000000
P0003,P0004,65.477678
P0003,P0005,37.916960
P0003,P0006,193.394846
P0003,P0007,186.656859
P0003,P0008,17.468689
P0003,P0009,164.673671
P0003,P0010,183.085086
P0004,P0001,10.705802
P0004,P0002,153.470547
P0004,P0003,65.477678
P0004,P0004,0.000000
P0004,P0005,124.315017
P0004,P0006,84.879301
P0004,P0007,74.038911
P0004,P0008,15.972622
P0004,P0009,186.027506
P0004,P0010,10.403653
P0005,P0001,23.950460
P0005,P0002,171.737418
P0005,P0003,37.916960
P0005,P0004,124.315017
P0005,P0005,0.000000
P0005,P0006,57.087876
P0005,P0007,115.991015
P0005,P0008,31.478139
P0005,P0009,89.776685
P0005,P0010,137.385844
P0006,P0001,111.466642
P0006,P0002,142.178956
P0006,P0003,193.394846
P0006,P0004,84.879301
P0006,P0005,57.087876
P0006,P0006,0.000000
P0006,P0007,150.345883
P0006,P0008,94.448656
P0006,P0009,87.830984
P0006,P0010,96.305208
P0007,P0001,132.384601
P0007,P0002,182.757355
P0007,P0003,186.656859
P0007,P0004,74.038911
P0007,P0005,115.991015
P0007,P0006,150.345883
P0007,P0007,0.000000
P0007,P0008,79.010418
P0007,P0009,62.778473
P0007,P0010,54.018897
P0008,P0001,137.265136
P0008,P0002,107.715012
P0008,P0003,17.468689
P0008,P0004,15.972622
P0008,P0005,31.478139
P0008,P0006,94.448656
P0008,P0007,79.010418
P0008,P0008,0.000000
P0008,P0009,57.742029
P0008,P0010,94.662109
P0009,P0001,122.128738
P0009,P0002,123.871876
P0009,P0003,164.673671
P0009,P0004,186.027506
P0009,P0005,89.776685
P0009,P0006,87.830984
P0009,P0007,62.778473
P0009,P0008,57.742029
P0009,P0009,0.000000
P0009,P0010,179.057720
P0010,P0001,167.879984
P0010,P0002,61.571449
P0010,P0003,183.085086
P0010,P0004,10.403653
P0010,P0005,137.385844
P0010,P0006,96.305208
P0010,P0007,54.018897
P0010,P0008,94.662109
P0010,P0009,179.057720
P0010,P0010,0.000000
